Mixture,Malignant,Endothelial cells,CAF,T cells CD8,NK cells,Macrophages,T cells CD4,B cells,P-value,Correlation,RMSE
TCGA-EE-A2GT-06A-12R-A18S-07,0.567307959065046,0.0537795536036276,0.0432525522977691,0.0285987887964952,0,0.088384431305352,0,0.21867671493171,0,0.541361035843488,0.845239495396904
TCGA-EE-A2GU-06A-11R-A18T-07,0.793145748075111,0.000383562884796132,0.000854432601158434,0.0408025159918696,0,0.124946231515028,0,0.039867508932036,0,0.529810707176335,0.855350316947729
TCGA-EE-A2M5-06A-12R-A18S-07,0,0,0.88903385731606,0.0369561009625968,0,0.0740100417213432,0,0,0,0.421120825331102,0.944934296135325
TCGA-EE-A2M6-06A-12R-A18S-07,0.826602105226332,0,0.0584205042101075,0,0,0.108407302545941,0,0.00657008801761925,0,0.395487948024883,0.918808401774741
TCGA-EE-A2M7-06A-11R-A18U-07,0.677252969525116,0.0329357219164671,0.157350520405638,0,0,0.0239175267645262,0.0095325175770273,0.099010743811225,0,0.360962477852533,0.933114515388364
TCGA-EE-A2M8-06A-12R-A18S-07,0.382766248855052,0,0.0779671208887335,0.127802210459824,0,0.345446063798644,0,0.0660183559977467,0,0.836811069980826,0.548948927028053
TCGA-EE-A2MC-06A-12R-A18S-07,0.146698085232363,0,0.494171147066565,0.0878507640497657,0,0.247011380038993,0,0.0242686236123128,0,0.506511696593066,0.876090363327603
TCGA-EE-A2MD-06A-11R-A18T-07,0.893688900953967,0.00161025295691144,0.0204347212797737,0.00464637956289497,0,0.0369501446027865,0,0.0426696006436661,0,0.387735947738432,0.923020050283706
TCGA-EE-A2ME-06A-11R-A18T-07,0.252724001225736,0.0471197531328193,0.138465468096616,0.0967106212270256,0,0.143880857390909,0.0128765966064036,0.308222702320491,0,0.725546801117083,0.695192272849427
TCGA-EE-A2MF-06A-11R-A21D-07,0.934056098148255,0,0.00828039678932084,0,0,0.0478794660716734,0.0097840389907509,0,0,0.537509006205096,0.861617519473098
TCGA-EE-A2MG-06A-11R-A18T-07,0.51729910950692,0.0767637043979936,0.106049988660849,0.0137351544067147,0,0.0802966010541742,0.0118192678556641,0.194036174117684,0,0.6233617679089,0.805794394771335
TCGA-EE-A2MH-06A-11R-A18S-07,0.850037967864997,0.0135081952764295,0.0259000357031955,0,0,0.0503823410016067,0.0184345477910552,0.0417369123627162,0,0.771843194781506,0.761556828419338
TCGA-EE-A2MI-06A-11R-A18U-07,0.699098615891789,0.00584406041442435,0.140077419488922,0,0,0.137189897497469,0,0.017790006707396,0,0.432513753066879,0.901714673285608
